keys,en,zh_CN,fr,ja,ko,es
CARDPRINTER_DESC,Right-click this relic to obtain any card you want; use during combat will also add it to your hand. Ctrl + right click to repeat the last action. Press B to perma ban the hovered card. Press N to ban the card for this run only.,右键此遗物来添加卡牌进入牌组；战斗中使用也会同时添加进手牌。Ctrl + 右键来重复上一次操作。按 B 键永久禁用悬停的卡牌。按 N 键仅在本局游戏中禁用。,"Faites un clic droit sur cette relique pour obtenir la carte de votre choix ; en combat, elle sera aussi ajoutée à votre main. Ctrl + clic droit pour répéter la dernière action. Appuyez sur B pour bannir définitivement la carte survolée. Appuyez sur N pour la bannir uniquement pour cette partie.",このレリックを右クリックすると、好きなカードを入手できます。戦闘中に使うと手札にも加わります。Ctrl + 右クリックで直前の操作を繰り返します。Bキーでカーソルを合わせているカードを永久に除外します。Nキーでそのカードをこのラン中のみ除外します。,이 유물을 우클릭하면 원하는 카드를 얻을 수 있습니다. 전투 중 사용하면 손패에도 추가됩니다. Ctrl + 우클릭으로 마지막 작업을 반복합니다. B 키를 눌러 마우스를 올린 카드를 영구적으로 제외합니다. N 키를 눌러 해당 카드를 이번 런에서만 제외합니다.,Haz clic derecho en esta reliquia para obtener cualquier carta; durante el combate también se añadirá a tu mano. Ctrl + clic derecho para repetir la última acción. Pulsa B para excluir permanentemente la carta sobre la que esté el cursor. Pulsa N para excluirla solo durante esta partida.
CARDSHREDDER_TITLE,Card Shredder,删卡机,Destructeur de cartes,カードシュレッダー,카드 분쇄기,Trituradora de cartas
CARDSHREDDER_DESC,Right-click this relic to obliterate any card you want; use during combat will also remove it from combat.,右键此遗物来从牌组删除卡牌; 战斗中使用也会同时将其从战斗中删除。,"Faites un clic droit sur cette relique pour anéantir la carte de votre choix ; en combat, elle sera aussi retirée du combat.",このレリックを右クリックすると、好きなカードを消滅させられます。戦闘中に使うと、そのカードは戦闘からも削除されます。,이 유물을 우클릭하면 원하는 카드를 소멸시킬 수 있습니다. 전투 중 사용하면 해당 카드가 전투에서도 제거됩니다.,Haz clic derecho en esta reliquia para destruir cualquier carta; durante el combate también se retirará del combate.
CARDMODIFIER_TITLE,Card Modifier,改卡机,Modificateur de cartes,カード改造機,카드 수정기,Modificador de cartas
CARDMODIFIER_DESC,Right-click this relic to modify any card you want; right-click cards to modify them.,右键此遗物来升级卡牌从牌组；右键卡牌来修改它。,Faites un clic droit sur cette relique pour modifier la carte de votre choix ; faites un clic droit sur une carte pour la modifier.,このレリックを右クリックすると、好きなカードを変更できます。カードを右クリックして変更します。,이 유물을 우클릭하면 원하는 카드를 수정할 수 있습니다. 카드를 우클릭하여 수정합니다.,Haz clic derecho en esta reliquia para modificar cualquier carta; haz clic derecho en una carta para modificarla.
CARDPRINTERALT_TITLE,Deck of Cards,卡牌盒,Jeu de cartes,カードデッキ,카드 덱,Baraja de cartas
CARDPRINTERALT_DESC,Right-click this relic to obtain any card you want; use during combat will also add it to your hand. Ctrl + right click to repeat the last action. Press B to perma ban the hovered card. Press N to ban the card for this run only.,右键此遗物来添加卡牌进入牌组；战斗中使用也会同时添加进手牌。按住Shift为x10张，Ctrl为x5张。Ctrl + 右键来重复上一次操作。按 B 键永久禁用悬停的卡牌。按 N 键仅在本局游戏中禁用。,"Faites un clic droit sur cette relique pour obtenir la carte de votre choix ; en combat, elle sera aussi ajoutée à votre main. Ctrl + clic droit pour répéter la dernière action. Appuyez sur B pour bannir définitivement la carte survolée. Appuyez sur N pour la bannir uniquement pour cette partie.",このレリックを右クリックすると、好きなカードを入手できます。戦闘中に使うと手札にも加わります。Ctrl + 右クリックで直前の操作を繰り返します。Bキーでカーソルを合わせているカードを永久に除外します。Nキーでそのカードをこのラン中のみ除外します。,이 유물을 우클릭하면 원하는 카드를 얻을 수 있습니다. 전투 중 사용하면 손패에도 추가됩니다. Ctrl + 우클릭으로 마지막 작업을 반복합니다. B 키를 눌러 마우스를 올린 카드를 영구적으로 제외합니다. N 키를 눌러 해당 카드를 이번 런에서만 제외합니다.,Haz clic derecho en esta reliquia para obtener cualquier carta; durante el combate también se añadirá a tu mano. Ctrl + clic derecho para repetir la última acción. Pulsa B para excluir permanentemente la carta sobre la que esté el cursor. Pulsa N para excluirla solo durante esta partida.
CARDSHREDDERALT_TITLE,Torn Card,扑克牌残片,Carte déchirée,破れたカード,찢어진 카드,Carta rota
CARDSHREDDERALT_DESC,Right-click this relic to obliterate any card you want; use during combat will also remove it from combat.,右键此遗物来从牌组删除卡牌; 战斗中使用也会同时将其从战斗中删除。,"Faites un clic droit sur cette relique pour anéantir la carte de votre choix ; en combat, elle sera aussi retirée du combat.",このレリックを右クリックすると、好きなカードを消滅させられます。戦闘中に使うと、そのカードは戦闘からも削除されます。,이 유물을 우클릭하면 원하는 카드를 소멸시킬 수 있습니다. 전투 중 사용하면 해당 카드가 전투에서도 제거됩니다.,Haz clic derecho en esta reliquia para destruir cualquier carta; durante el combate también se retirará del combate.
CARDMODIFIERALT_TITLE,Blank Card,空白卡牌,Carte vierge,白紙のカード,빈 카드,Carta en blanco
CARDMODIFIERALT_DESC,Right-click this relic to modify any card you want; right-click cards to modify them.,右键此遗物来升级卡牌从牌组；右键卡牌来修改它。,Faites un clic droit sur cette relique pour modifier la carte de votre choix ; faites un clic droit sur une carte pour la modifier.,このレリックを右クリックすると、好きなカードを変更できます。カードを右クリックして変更します。,이 유물을 우클릭하면 원하는 카드를 수정할 수 있습니다. 카드를 우클릭하여 수정합니다.,Haz clic derecho en esta reliquia para modificar cualquier carta; haz clic derecho en una carta para modificarla.
EVENTFULCOMPASS_TITLE,Eventful Compass,事件指南针,Boussole événementielle,イベントコンパス,이벤트 나침반,Brújula de eventos
EVENTFULCOMPASS_DESC,Right-click this relic to select the event you want. Ctrl + right click to repeat the last action.,右键此遗物来选择你想去的事件。Ctrl + 右键来重复上一次操作。,Faites un clic droit sur cette relique pour choisir l'événement de votre choix. Ctrl + clic droit pour répéter la dernière action.,このレリックを右クリックすると、好きなイベントを選択できます。Ctrl + 右クリックで直前の操作を繰り返します。,이 유물을 우클릭하면 원하는 이벤트를 선택할 수 있습니다. Ctrl + 우클릭으로 마지막 작업을 반복합니다.,Haz clic derecho en esta reliquia para seleccionar el evento que quieras. Ctrl + clic derecho para repetir la última acción.
EVENTFULCOMPASSALT_TITLE,The Compass,指南针,La Boussole,コンパス,나침반,La Brújula
EVENTFULCOMPASSALT_DESC,Right-click this relic to select the event you want. Ctrl + right click to repeat the last action.,右键此遗物来选择你想去的事件。Ctrl + 右键来重复上一次操作。,Faites un clic droit sur cette relique pour choisir l'événement de votre choix. Ctrl + clic droit pour répéter la dernière action.,このレリックを右クリックすると、好きなイベントを選択できます。Ctrl + 右クリックで直前の操作を繰り返します。,이 유물을 우클릭하면 원하는 이벤트를 선택할 수 있습니다. Ctrl + 우클릭으로 마지막 작업을 반복합니다.,Haz clic derecho en esta reliquia para seleccionar el evento que quieras. Ctrl + clic derecho para repetir la última acción.
POWERGIVER_TITLE,Potion of Powers,能力药水,Potion de pouvoirs,パワーのポーション,파워의 포션,Poción de poderes
POWERGIVER_DESC,"Right-click this relic to select the power for you/monsters at the start/middle of combat. Left-click to increase, right-click to decrease. Ctrl x5, Shift x10. Alt + left-click to favorite. Ctrl + right click to repeat the last action.","右键此遗物来选择你或怪物在战斗开始时/中获得的能力。 左键增加，右键减少。Ctrl x5, Shift x10。 Alt+左键收藏。Ctrl + 右键来重复上一次操作。","Faites un clic droit sur cette relique pour choisir un pouvoir pour vous ou les monstres au début ou pendant le combat. Clic gauche pour augmenter, clic droit pour diminuer. Ctrl x5, Maj x10. Alt + clic gauche pour ajouter aux favoris. Ctrl + clic droit pour répéter la dernière action.",このレリックを右クリックすると、戦闘開始時または戦闘中に自分やモンスターへ付与するパワーを選べます。左クリックで増加、右クリックで減少。Ctrlで5倍、Shiftで10倍。Alt + 左クリックでお気に入り登録。Ctrl + 右クリックで直前の操作を繰り返します。,"이 유물을 우클릭하면 전투 시작 시 또는 전투 중 자신이나 몬스터에게 부여할 파워를 선택할 수 있습니다. 좌클릭으로 증가, 우클릭으로 감소합니다. Ctrl x5, Shift x10. Alt + 좌클릭으로 즐겨찾기에 추가합니다. Ctrl + 우클릭으로 마지막 작업을 반복합니다.","Haz clic derecho en esta reliquia para elegir un poder para ti o los monstruos al inicio o durante el combate. Clic izquierdo para aumentar y clic derecho para reducir. Ctrl x5, Mayús x10. Alt + clic izquierdo para marcar como favorito. Ctrl + clic derecho para repetir la última acción."
POWERGIVERALT_TITLE,Lemegeton,所罗门魔典,Lemegeton,レメゲトン,레메게톤,Lemegeton
POWERGIVERALT_DESC,"Right-click this relic to select the power for you/monsters at the start/middle of combat. Left-click to increase, right-click to decrease. Ctrl x5, Shift x10. Alt + left-click to favorite. Ctrl + right click to repeat the last action.","右键此遗物来选择你或怪物在战斗开始时/中获得的能力。 左键增加，右键减少。Ctrl x5, Shift x10。 Alt+左键收藏。Ctrl + 右键来重复上一次操作。","Faites un clic droit sur cette relique pour choisir un pouvoir pour vous ou les monstres au début ou pendant le combat. Clic gauche pour augmenter, clic droit pour diminuer. Ctrl x5, Maj x10. Alt + clic gauche pour ajouter aux favoris. Ctrl + clic droit pour répéter la dernière action.",このレリックを右クリックすると、戦闘開始時または戦闘中に自分やモンスターへ付与するパワーを選べます。左クリックで増加、右クリックで減少。Ctrlで5倍、Shiftで10倍。Alt + 左クリックでお気に入り登録。Ctrl + 右クリックで直前の操作を繰り返します。,"이 유물을 우클릭하면 전투 시작 시 또는 전투 중 자신이나 몬스터에게 부여할 파워를 선택할 수 있습니다. 좌클릭으로 증가, 우클릭으로 감소합니다. Ctrl x5, Shift x10. Alt + 좌클릭으로 즐겨찾기에 추가합니다. Ctrl + 우클릭으로 마지막 작업을 반복합니다.","Haz clic derecho en esta reliquia para elegir un poder para ti o los monstruos al inicio o durante el combate. Clic izquierdo para aumentar y clic derecho para reducir. Ctrl x5, Mayús x10. Alt + clic izquierdo para marcar como favorito. Ctrl + clic derecho para repetir la última acción."
TILDEKEY_TITLE,Reality Manipulator,现实操纵仪,Manipulateur de réalité,現実操作装置,현실 조작기,Manipulador de la realidad
TILDEKEY_DESC,Right-click this relic to select debug powers you want. Left Click fields to edit them. Ctrl + right click to kill all monsters. Shift + right click to spare all monsters.,右键此遗物来进行调试。 左键数值来修改它。 Ctrl + 右键来杀死房间所有怪物。 Shift + 右键来饶恕所有房间所有怪物。,Faites un clic droit sur cette relique pour choisir les options de débogage. Cliquez sur les champs pour les modifier. Ctrl + clic droit pour tuer tous les monstres. Maj + clic droit pour épargner tous les monstres.,このレリックを右クリックすると、デバッグ機能を選択できます。項目を左クリックして編集します。Ctrl + 右クリックですべてのモンスターを倒し、Shift + 右クリックですべてのモンスターを見逃します。,"이 유물을 우클릭하면 원하는 디버그 기능을 선택할 수 있습니다. 필드를 좌클릭하여 편집합니다. Ctrl + 우클릭으로 모든 몬스터를 처치하고, Shift + 우클릭으로 모든 몬스터를 살려 둡니다.",Haz clic derecho en esta reliquia para elegir las funciones de depuración. Haz clic izquierdo en los campos para editarlos. Ctrl + clic derecho para matar a todos los monstruos. Mayús + clic derecho para perdonarlos.
TILDEKEY_GODMODE,Godmode,上帝模式,Mode Dieu,無敵モード,무적 모드,Modo dios
